dataset,selector,clasificador,f1_test,roc_auc_test,balanced_acc_test,precision_test,recall_test,specificity_test,f1_val,roc_auc_val,balanced_acc_val,precision_val,recall_val,specificity_val,num_selected_features
csf_gm_wm_harvard_oxford,ElasticNet,LogisticRegression,0.8636363636363636,0.9523809523809524,0.8783068783068784,0.8260869565217391,0.9047619047619048,0.8518518518518519,0.8080197132616487,0.8682539682539682,0.8254435107376283,0.8192815371762739,0.8032679738562092,0.8476190476190475,18
csf_gm_wm_harvard_oxford,ElasticNet,SVM,0.8636363636363636,0.9470899470899472,0.8783068783068784,0.8260869565217391,0.9047619047619048,0.8518518518518519,0.7794779730073846,0.8704948646125118,0.8022408963585435,0.8041176470588235,0.7568627450980392,0.8476190476190476,18
csf_gm_wm_harvard_oxford,ElasticNet,RandomForest,0.8372093023255814,0.9065255731922398,0.8544973544973544,0.8181818181818182,0.8571428571428571,0.8518518518518519,0.8270509418896517,0.8761282290694055,0.8421101774042951,0.8239557226399331,0.8366013071895424,0.8476190476190475,20
csf_gm_wm_harvard_oxford,RFE,LogisticRegression,0.8636363636363636,0.9223985890652556,0.8783068783068784,0.8260869565217391,0.9047619047619048,0.8518518518518519,0.7963171382526222,0.8682850918145035,0.8155929038281979,0.7953007518796993,0.8026143790849674,0.8285714285714285,18
csf_gm_wm_harvard_oxford,RFE,SVM,0.7906976744186046,0.8835978835978837,0.8121693121693121,0.7727272727272727,0.8095238095238095,0.8148148148148148,0.7880303030303031,0.8727668845315903,0.8146125116713352,0.8542582417582418,0.7339869281045752,0.895238095238095,12
csf_gm_wm_harvard_oxford,RFE,RandomForest,0.8181818181818182,0.908289241622575,0.8359788359788359,0.782608695652174,0.8571428571428571,0.8148148148148148,0.8078328173374614,0.8765950824774353,0.8255835667600373,0.8049673202614379,0.8130718954248366,0.838095238095238,17
csf_gm_wm_harvard_oxford,PCA,LogisticRegression,0.8837209302325582,0.9329805996472664,0.8968253968253967,0.8636363636363636,0.9047619047619048,0.8888888888888888,0.8435398981324278,0.9027388733271088,0.853548085901027,0.8396248196248196,0.8594771241830065,0.8476190476190476,23
csf_gm_wm_harvard_oxford,PCA,SVM,0.8636363636363636,0.9435626102292768,0.8783068783068784,0.8260869565217391,0.9047619047619048,0.8518518518518519,0.8443091289016585,0.9045751633986928,0.853874883286648,0.8397994987468673,0.8601307189542482,0.8476190476190476,21
csf_gm_wm_harvard_oxford,PCA,RandomForest,0.7916666666666666,0.9223985890652556,0.8042328042328042,0.7037037037037037,0.9047619047619048,0.7037037037037037,0.814729457765511,0.8751633986928103,0.8335200746965453,0.8423319327731094,0.7908496732026143,0.8761904761904761,12
grosores_corticales,ElasticNet,LogisticRegression,0.8,0.8906525573192239,0.8253968253968254,0.8421052631578947,0.7619047619047619,0.8888888888888888,0.8662401734887503,0.91051976346094,0.8802054154995332,0.9028011204481792,0.8366013071895424,0.9238095238095236,3
